hospital,date,ed_trolleys,ward_trolleys,total_trolleys,surge_open,delayed_transfers,over_24hrs_on_trolleys,over_75yrs_over_24hrs
Tallaght University Hospital,,25,0,25,31,25,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,2,0,2,12,0,0,0
St Luke's General Hospital Kilkenny,,2,0,2,12,12,0,0
St. Michael's Hospital,,31,17,48,40,48,0,0
St. Vincent's University Hospital,,31,17,48,40,48,0,6
Tipperary University Hospital,,6,0,6,21,15,2,0
UH Waterford,,0,0,0,3,22,0,0
Wexford General Hospital,,4,0,4,15,0,0,0
Bantry General Hospital,,21,5,26,32,26,0,0
Cork University Hospital,,21,5,26,32,26,0,0
Mallow General Hospital,,15,6,21,16,21,0,0
Mercy University Hospital,,15,6,21,16,21,4,0
South Infirmary Victoria University Hospital,,12,0,12,13,12,0,0
UH Kerry,,12,0,12,13,12,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,6,19,48,67,6,0,0
UH Limerick,,19,48,67,55,67,0,0
Galway University Hospital,,18,12,30,22,30,8,1
Letterkenny University Hospital,,8,8,16,14,16,4,0
Mayo University Hospital,,12,17,29,12,29,0,3
Portiuncula University Hospital,,3,0,3,7,0,0,0
Roscommon University Hospital,,6,8,8,16,6,0,0
Sligo University Hospital,,8,8,16,16,16,6,0
Beaumont Hospital,,23,0,23,27,23,0,18
Cavan General Hospital,,18,0,18,14,18,2,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,19,0,19,32,19,0,0
Mater Misericordiae University Hospital,,19,0,19,32,19,0,0
National Orthopaedic Hospital Cappagh,,29,0,29,35,29,0,0
Our Lady of Lourdes Hospital,,29,0,29,35,29,0,2
Our Lady's Hospital Navan,,2,0,11,0,0,0,0
CHI at Crumlin,,10,0,10,0,10,0,0
CHI at Tallaght,,6,0,6,0,6,0,0
CHI at Temple Street,,0,0,0,0,0,0,1
MRH Mullingar,,1,1,2,24,5,0,0
MRH Portlaoise,,3,0,3,17,0,0,0
MRH Tullamore,,0,0,0,37,7,0,0
Naas General Hospital,,7,0,15,2,2,25,0
St. James's Hospital,,25,0,25,23,25,2,0
St. Luke's Radiation Oncology Network,,28,5,33,31,33,0,0
Tallaght University Hospital,,28,5,33,31,33,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,0,0,0,6,0,0,0
St Luke's General Hospital Kilkenny,,0,0,0,6,11,0,0
St. Michael's Hospital,,33,17,50,40,50,0,0
St. Vincent's University Hospital,,33,17,50,40,50,0,9
Tipperary University Hospital,,9,0,30,9,9,0,0
UH Waterford,,0,0,0,6,24,0,0
Wexford General Hospital,,1,0,1,17,0,0,0
Bantry General Hospital,,10,4,31,0,0,0,0
Cork University Hospital,,10,4,31,31,31,0,0
Mallow General Hospital,,11,6,17,16,17,0,0
Mercy University Hospital,,11,6,17,16,17,2,0
South Infirmary Victoria University Hospital,,8,0,10,0,0,0,0
UH Kerry,,8,0,10,21,21,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,6,18,49,67,6,0,0
UH Limerick,,18,49,67,34,67,0,0
Galway University Hospital,,19,9,28,22,28,2,0
Letterkenny University Hospital,,8,8,16,17,16,3,0
Mayo University Hospital,,12,17,29,14,29,16,0
Portiuncula University Hospital,,3,0,3,6,0,0,0
Roscommon University Hospital,,6,5,5,10,6,0,0
Sligo University Hospital,,5,5,10,12,10,1,0
Beaumont Hospital,,4,0,4,27,12,0,12
Cavan General Hospital,,12,0,12,16,12,1,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,18,0,18,33,18,0,0
Mater Misericordiae University Hospital,,18,0,18,33,18,0,0
National Orthopaedic Hospital Cappagh,,22,0,22,31,22,0,0
Our Lady of Lourdes Hospital,,22,0,22,31,22,0,0
Our Lady's Hospital Navan,,0,0,0,11,0,0,0
CHI at Crumlin,,6,0,6,0,6,0,0
CHI at Tallaght,,1,0,2,0,6,6,0
CHI at Temple Street,,6,0,6,0,6,0,0
MRH Mullingar,,0,0,0,17,5,0,0
MRH Portlaoise,,0,0,0,18,0,0,0
MRH Tullamore,,0,0,0,30,7,0,0
Naas General Hospital,,15,2,17,17,17,0,8
St. James's Hospital,,8,0,8,21,27,0,0
St. Luke's Radiation Oncology Network,,23,3,26,31,26,0,0
Tallaght University Hospital,,23,3,26,31,26,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,0,0,0,7,0,0,0
St Luke's General Hospital Kilkenny,,0,0,0,7,11,0,0
St. Michael's Hospital,,27,12,39,40,39,0,0
St. Vincent's University Hospital,,27,12,39,40,39,0,4
Tipperary University Hospital,,4,0,4,26,9,2,0
UH Waterford,,0,0,0,5,24,0,0
Wexford General Hospital,,3,3,6,17,0,0,0
Bantry General Hospital,,3,0,3,23,0,0,0
Cork University Hospital,,3,0,3,23,27,0,0
Mallow General Hospital,,11,6,17,16,17,0,0
Mercy University Hospital,,11,6,17,16,17,2,0
South Infirmary Victoria University Hospital,,7,0,10,0,0,0,0
UH Kerry,,7,0,10,24,24,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,6,19,47,66,6,0,0
UH Limerick,,19,47,66,32,66,0,0
Galway University Hospital,,8,5,22,45,45,0,8
Letterkenny University Hospital,,8,6,14,13,14,1,0
Mayo University Hospital,,7,17,24,17,24,9,0
Portiuncula University Hospital,,1,0,1,0,0,0,0
Roscommon University Hospital,,7,8,8,16,7,0,0
Sligo University Hospital,,8,8,16,14,16,3,0
Beaumont Hospital,,0,0,0,0,0,0,8
Cavan General Hospital,,8,0,10,0,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,9,0,9,25,0,0,0
Mater Misericordiae University Hospital,,9,0,9,25,0,0,0
National Orthopaedic Hospital Cappagh,,17,0,17,34,17,0,0
Our Lady of Lourdes Hospital,,17,0,17,34,17,0,0
Our Lady's Hospital Navan,,0,0,0,4,0,0,0
CHI at Crumlin,,2,0,0,4,4,0,0
CHI at Tallaght,,0,0,0,0,0,0,0
CHI at Temple Street,,0,0,0,0,0,0,1
MRH Mullingar,,1,0,1,11,5,0,0
MRH Portlaoise,,0,0,0,10,0,0,0
MRH Tullamore,,0,0,0,15,7,0,0
Naas General Hospital,,3,0,3,5,0,0,12
St. James's Hospital,,12,0,11,28,28,0,0
St. Luke's Radiation Oncology Network,,12,0,23,0,0,0,0
Tallaght University Hospital,,12,0,23,1,1,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,0,0,0,7,0,0,0
St Luke's General Hospital Kilkenny,,0,0,0,7,10,0,0
St. Michael's Hospital,,14,0,40,0,0,0,0
St. Vincent's University Hospital,,14,0,40,2,2,6,0
Tipperary University Hospital,,6,0,6,18,2,0,0
UH Waterford,,0,0,0,1,26,0,0
Wexford General Hospital,,1,1,2,16,0,0,0
Bantry General Hospital,,0,4,4,15,0,0,0
Cork University Hospital,,0,4,4,15,27,0,0
Mallow General Hospital,,7,4,11,16,11,0,0
Mercy University Hospital,,7,4,11,16,11,1,0
South Infirmary Victoria University Hospital,,1,0,1,13,0,0,0
UH Kerry,,1,0,1,13,25,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,6,18,31,49,6,0,0
UH Limerick,,18,31,49,42,49,0,0
Galway University Hospital,,7,0,7,17,43,0,0
Letterkenny University Hospital,,2,3,5,1,35,0,0
Mayo University Hospital,,8,10,18,10,18,4,0
Portiuncula University Hospital,,1,0,1,0,0,0,0
Roscommon University Hospital,,6,6,4,10,6,0,0
Sligo University Hospital,,6,4,10,13,10,2,0
Beaumont Hospital,,0,0,0,8,0,0,0
Cavan General Hospital,,0,0,0,15,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,18,0,18,25,18,0,0
Mater Misericordiae University Hospital,,18,0,18,25,18,0,0
National Orthopaedic Hospital Cappagh,,25,0,25,38,25,0,0
Our Lady of Lourdes Hospital,,25,0,25,38,25,3,3
Our Lady's Hospital Navan,,3,0,3,7,3,0,0
CHI at Crumlin,,0,0,0,0,4,0,0
CHI at Tallaght,,2,0,0,0,5,0,5
CHI at Temple Street,,0,5,5,0,5,0,0
MRH Mullingar,,0,0,0,16,5,0,0
MRH Portlaoise,,0,0,0,12,0,0,0
MRH Tullamore,,0,0,0,22,7,0,0
Naas General Hospital,,12,4,16,19,16,0,24
St. James's Hospital,,24,0,24,11,24,1,0
St. Luke's Radiation Oncology Network,,23,0,23,28,23,0,0
Tallaght University Hospital,,23,0,23,28,23,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,0,0,0,7,0,0,0
St Luke's General Hospital Kilkenny,,0,0,0,7,10,0,0
St. Michael's Hospital,,20,4,24,40,24,0,0
St. Vincent's University Hospital,,20,4,24,40,24,0,7
Tipperary University Hospital,,7,0,25,2,2,0,0
UH Waterford,,0,0,0,4,26,0,0
Wexford General Hospital,,4,3,26,1,1,0,0
Bantry General Hospital,,10,1,24,0,0,0,0
Cork University Hospital,,10,1,24,27,27,0,0
Mallow General Hospital,,4,6,4,10,4,0,0
Mercy University Hospital,,6,4,10,16,10,1,0
South Infirmary Victoria University Hospital,,1,0,1,14,0,0,0
UH Kerry,,1,0,1,14,25,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,6,19,45,64,6,0,0
UH Limerick,,19,45,64,50,64,0,0
Galway University Hospital,,11,2,22,43,43,0,7
Letterkenny University Hospital,,7,4,11,9,11,1,0
Mayo University Hospital,,15,17,32,12,32,13,0
Portiuncula University Hospital,,3,0,3,0,1,0,0
Roscommon University Hospital,,6,7,13,20,6,0,0
Sligo University Hospital,,7,13,20,19,20,4,0
Beaumont Hospital,,9,0,9,24,0,0,9
Cavan General Hospital,,9,0,12,0,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,25,0,25,45,25,0,0
Mater Misericordiae University Hospital,,25,0,25,45,25,2,0
National Orthopaedic Hospital Cappagh,,25,0,25,50,25,0,0
Our Lady of Lourdes Hospital,,25,0,25,50,25,3,2
Our Lady's Hospital Navan,,2,0,14,0,0,0,0
CHI at Crumlin,,0,0,0,0,4,0,0
CHI at Tallaght,,0,0,0,0,4,0,4
CHI at Temple Street,,4,0,4,0,4,0,2
MRH Mullingar,,2,2,4,23,5,0,0
MRH Portlaoise,,0,0,0,10,0,0,0
MRH Tullamore,,0,0,0,27,7,0,0
Naas General Hospital,,19,4,23,19,23,2,28
St. James's Hospital,,28,0,28,25,28,4,0
St. Luke's Radiation Oncology Network,,31,4,35,31,35,0,0
Tallaght University Hospital,,31,4,35,31,35,1,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,10,5,15,17,15,0,0
St Luke's General Hospital Kilkenny,,10,5,15,17,15,0,0
St. Michael's Hospital,,22,11,33,40,33,0,0
St. Vincent's University Hospital,,22,11,33,40,33,2,16
Tipperary University Hospital,,16,0,16,32,16,1,0
UH Waterford,,0,0,0,28,26,0,0
Wexford General Hospital,,5,6,11,31,11,0,0
Bantry General Hospital,,32,4,36,20,36,0,0
Cork University Hospital,,32,4,36,20,36,4,0
Mallow General Hospital,,4,13,5,18,4,0,0
Mercy University Hospital,,13,5,18,17,18,3,0
South Infirmary Victoria University Hospital,,9,0,10,0,0,0,0
UH Kerry,,9,0,10,25,25,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,6,19,50,69,6,0,0
UH Limerick,,19,50,69,53,69,0,0
Galway University Hospital,,16,4,20,20,20,2,1
Letterkenny University Hospital,,12,9,21,11,21,2,0
Mayo University Hospital,,19,17,36,21,36,19,1
Portiuncula University Hospital,,4,0,4,3,0,0,0
Roscommon University Hospital,,6,17,18,35,6,0,0
Sligo University Hospital,,17,18,35,21,35,12,1
Beaumont Hospital,,5,0,5,14,10,0,10
Cavan General Hospital,,10,0,10,10,10,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,35,0,35,45,35,0,0
Mater Misericordiae University Hospital,,35,0,35,45,35,2,0
National Orthopaedic Hospital Cappagh,,34,0,34,48,34,0,0
Our Lady of Lourdes Hospital,,34,0,34,48,34,0,4
Our Lady's Hospital Navan,,4,0,4,11,4,0,0
CHI at Crumlin,,1,0,0,3,3,0,0
CHI at Tallaght,,0,0,0,0,5,0,5
CHI at Temple Street,,5,0,5,0,5,0,1
MRH Mullingar,,1,0,1,18,5,0,0
MRH Portlaoise,,2,0,2,11,0,0,0
MRH Tullamore,,0,0,0,34,7,0,0
Naas General Hospital,,8,3,11,14,11,0,24
St. James's Hospital,,24,0,24,25,24,2,0
St. Luke's Radiation Oncology Network,,26,15,41,31,41,0,0
Tallaght University Hospital,,26,15,41,31,41,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,4,0,4,13,0,0,0
St Luke's General Hospital Kilkenny,,4,0,4,13,9,0,0
St. Michael's Hospital,,24,15,39,40,39,0,0
St. Vincent's University Hospital,,24,15,39,40,39,0,6
Tipperary University Hospital,,6,0,6,32,2,0,0
UH Waterford,,0,0,0,27,23,0,0
Wexford General Hospital,,3,1,4,26,0,0,0
Bantry General Hospital,,27,10,37,21,37,0,0
Cork University Hospital,,27,10,37,21,37,2,0
Mallow General Hospital,,4,11,5,16,4,0,0
Mercy University Hospital,,11,5,16,16,16,4,0
South Infirmary Victoria University Hospital,,10,0,10,10,10,0,0
UH Kerry,,10,0,10,10,10,0,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,6,20,49,69,6,0,0
UH Limerick,,20,49,69,61,69,0,0
Galway University Hospital,,15,11,26,22,26,1,0
Letterkenny University Hospital,,12,6,18,9,18,3,0
Mayo University Hospital,,15,16,31,20,31,16,0
Portiuncula University Hospital,,2,0,2,6,1,0,0
Roscommon University Hospital,,6,25,18,43,6,0,0
Sligo University Hospital,,25,18,43,19,43,18,0
Beaumont Hospital,,5,0,5,6,0,0,2
Cavan General Hospital,,2,0,2,13,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,13,0,43,0,0,0,0
Mater Misericordiae University Hospital,,13,0,43,0,0,0,0
National Orthopaedic Hospital Cappagh,,25,0,25,46,25,0,0
Our Lady of Lourdes Hospital,,25,0,25,46,25,0,4
Our Lady's Hospital Navan,,4,0,4,19,4,0,0
CHI at Crumlin,,10,0,10,0,10,0,0
CHI at Tallaght,,1,0,0,0,0,3,0
CHI at Temple Street,,3,0,0,0,0,3,0
MRH Mullingar,,3,0,3,21,5,0,0
MRH Portlaoise,,1,0,1,14,0,0,0
MRH Tullamore,,0,0,0,25,7,0,0
Naas General Hospital,,12,4,16,14,16,1,11
St. James's Hospital,,11,0,27,26,26,0,0
St. Luke's Radiation Oncology Network,,26,8,34,31,34,0,0
Tallaght University Hospital,,26,8,34,31,34,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,0,0,0,10,0,0,0
St Luke's General Hospital Kilkenny,,0,0,0,10,9,0,0
St. Michael's Hospital,,20,10,30,40,30,0,0
St. Vincent's University Hospital,,20,10,30,40,30,4,2
Tipperary University Hospital,,5,0,5,30,3,0,0
UH Waterford,,0,0,0,26,22,0,0
Wexford General Hospital,,1,5,6,28,0,0,0
Bantry General Hospital,,22,8,30,22,30,0,0
Cork University Hospital,,22,8,30,22,30,3,0
Mallow General Hospital,,5,10,6,16,5,0,0
Mercy University Hospital,,10,6,16,16,16,1,0
South Infirmary Victoria University Hospital,,14,0,14,14,14,0,0
UH Kerry,,14,0,14,14,14,2,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,6,16,48,64,6,0,0
UH Limerick,,16,48,64,59,64,0,0
Galway University Hospital,,16,8,24,22,24,3,0
Letterkenny University Hospital,,6,9,15,18,15,8,0
Mayo University Hospital,,12,15,27,17,27,11,0
Portiuncula University Hospital,,0,0,0,4,0,0,0
Roscommon University Hospital,,8,18,17,35,8,0,0
Sligo University Hospital,,18,17,35,19,35,12,0
Beaumont Hospital,,0,0,0,7,12,0,12
Cavan General Hospital,,12,0,12,5,12,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,12,0,32,0,0,0,0
Mater Misericordiae University Hospital,,12,0,32,0,0,0,0
National Orthopaedic Hospital Cappagh,,19,0,19,44,19,0,0
Our Lady of Lourdes Hospital,,19,0,19,44,19,0,0
Our Lady's Hospital Navan,,0,0,0,17,0,0,0
CHI at Crumlin,,8,0,8,0,8,0,0
CHI at Tallaght,,0,0,0,0,5,0,5
CHI at Temple Street,,5,0,5,0,5,0,7
MRH Mullingar,,7,0,23,5,5,0,0
MRH Portlaoise,,0,0,0,9,9,0,0
MRH Tullamore,,0,0,0,28,8,0,0
Naas General Hospital,,13,4,17,16,17,0,8
St. James's Hospital,,8,0,8,21,29,0,0
St. Luke's Radiation Oncology Network,,31,7,38,31,38,0,0
Tallaght University Hospital,,31,7,38,31,38,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,2,0,2,12,0,0,0
St Luke's General Hospital Kilkenny,,2,0,2,12,11,0,0
St. Michael's Hospital,,21,5,26,40,26,0,0
St. Vincent's University Hospital,,21,5,26,40,26,0,2
Tipperary University Hospital,,2,0,2,27,12,0,0
UH Waterford,,0,0,0,11,22,0,0
Wexford General Hospital,,3,3,6,26,9,3,0
Bantry General Hospital,,5,26,3,29,5,0,0
Cork University Hospital,,26,3,29,21,29,2,0
Mallow General Hospital,,5,11,5,16,5,0,0
Mercy University Hospital,,11,5,16,16,16,1,0
South Infirmary Victoria University Hospital,,11,7,18,10,18,0,0
UH Kerry,,11,7,18,10,18,3,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,6,20,44,64,6,0,0
UH Limerick,,20,44,64,49,64,0,0
Galway University Hospital,,22,12,34,22,34,5,1
Letterkenny University Hospital,,10,6,16,15,16,2,0
Mayo University Hospital,,11,16,27,18,27,15,1
Portiuncula University Hospital,,0,0,0,4,0,0,0
Roscommon University Hospital,,9,12,9,21,9,0,0
Sligo University Hospital,,12,9,21,17,21,7,0
Beaumont Hospital,,0,0,0,6,0,0,5
Cavan General Hospital,,5,0,5,4,0,0,0
Connolly Hospital,,0,0,0,0,0,0,0
Louth County Hospital,,0,0,0,27,0,0,0
Mater Misericordiae University Hospital,,0,0,0,27,0,0,0
National Orthopaedic Hospital Cappagh,,16,0,16,44,16,0,0
Our Lady of Lourdes Hospital,,16,0,16,44,16,0,0
Our Lady's Hospital Navan,,0,0,0,16,0,0,0
CHI at Crumlin,,10,0,10,0,10,0,0
CHI at Tallaght,,1,0,0,0,0,3,0
CHI at Temple Street,,3,0,0,0,0,1,0
MRH Mullingar,,1,0,1,16,5,0,0
MRH Portlaoise,,1,0,1,8,0,0,0
MRH Tullamore,,0,0,0,30,8,0,0
Naas General Hospital,,17,5,22,14,22,0,11
St. James's Hospital,,11,0,11,27,27,0,0
St. Luke's Radiation Oncology Network,,21,7,28,31,28,0,0
Tallaght University Hospital,,21,7,28,31,28,0,0
National Rehabilitation Hospital,,0,0,0,0,0,0,0
St. Columcille's Hospital,,0,0,0,9,0,0,0
St Luke's General Hospital Kilkenny,,0,0,0,9,11,0,0
St. Michael's Hospital,,14,0,40,0,0,0,0
St. Vincent's University Hospital,,14,0,40,2,2,2,0
Tipperary University Hospital,,2,0,2,19,11,0,0
UH Waterford,,0,0,0,7,24,0,0
Wexford General Hospital,,1,4,5,13,0,0,0
Bantry General Hospital,,11,3,17,0,0,0,0
Cork University Hospital,,11,3,17,34,34,0,0
Mallow General Hospital,,4,12,5,17,4,0,0
Mercy University Hospital,,12,5,17,16,17,2,0
South Infirmary Victoria University Hospital,,17,0,17,10,17,0,0
UH Kerry,,17,0,17,10,17,2,0
Ennis Hospital,,0,0,0,0,0,0,0
Nenagh Hospital,,0,0,0,0,0,0,0
St. John's Hospital Limerick,,6,15,42,57,6,0,0
UH Limerick,,15,42,57,45,57,0,0
Galway University Hospital,,19,8,27,21,27,5,0
Letterkenny University Hospital,,9,6,15,10,15,5,0
Mayo University Hospital,,6,16,22,15,22,12,0
Portiuncula University Hospital,,4,0,4,6,0,0,0
Roscommon University Hospital,,10,9,11,20,10,0,0
Sligo University Hospital,,9,11,20,14,20,4,0
Beaumont Hospital,2025-03-01,0,0,0,0,0,0,0
Cavan General Hospital,2025-03-01,0,0,0,9,0,0,0
Connolly Hospital,2025-03-01,0,0,0,0,0,0,0
Louth County Hospital,2025-03-01,1,0,1,25,0,0,0
Mater Misericordiae University Hospital,2025-03-01,1,0,1,25,0,0,0
National Orthopaedic Hospital Cappagh,2025-03-01,10,0,37,0,0,0,0
Our Lady of Lourdes Hospital,2025-03-01,10,0,37,0,0,0,0
Our Lady's Hospital Navan,2025-03-01,0,0,0,18,0,0,0
CHI at Crumlin,2025-03-01,0,0,0,5,4,0,0
CHI at Tallaght,2025-03-01,0,0,0,0,0,0,0
CHI at Temple Street,2025-03-01,0,0,0,0,0,0,2
MRH Mullingar,2025-03-01,2,0,2,21,5,0,0
MRH Portlaoise,2025-03-01,1,0,1,8,10,0,0
MRH Tullamore,2025-03-01,0,0,0,26,8,0,0
Naas General Hospital,2025-03-01,10,2,12,11,12,1,6
St. James's Hospital,2025-03-01,6,0,6,7,26,0,0
St. Luke's Radiation Oncology Network,2025-03-01,7,0,7,31,0,0,0
Tallaght University Hospital,2025-03-01,7,0,7,31,3,0,0
National Rehabilitation Hospital,2025-03-01,0,0,0,0,0,0,0
St. Columcille's Hospital,2025-03-01,0,0,0,4,0,0,0
St Luke's General Hospital Kilkenny,2025-03-01,0,0,0,4,0,0,0
St. Michael's Hospital,2025-03-01,4,0,4,40,0,0,0
St. Vincent's University Hospital,2025-03-01,4,0,4,40,0,0,-1
Tipperary University Hospital,2025-03-01,-1,2,1,6,11,0,0
UH Waterford,2025-03-01,0,0,0,9,25,0,0
Wexford General Hospital,2025-03-01,0,2,2,18,0,0,0
Bantry General Hospital,2025-03-01,3,3,6,5,0,0,0
Cork University Hospital,2025-03-01,3,3,6,5,32,0,0
Mallow General Hospital,2025-03-01,4,9,3,12,4,0,0
Mercy University Hospital,2025-03-01,9,3,12,16,12,2,0
South Infirmary Victoria University Hospital,2025-03-01,7,0,10,0,0,0,0
UH Kerry,2025-03-01,7,0,10,26,26,0,0
Ennis Hospital,2025-03-01,0,0,0,0,0,0,0
Nenagh Hospital,2025-03-01,0,0,0,0,0,0,0
St. John's Hospital Limerick,2025-03-01,6,7,34,41,6,0,0
UH Limerick,2025-03-01,7,34,41,34,41,0,0
Galway University Hospital,2025-03-01,8,2,21,40,40,0,8
Letterkenny University Hospital,2025-03-01,8,4,12,1,12,4,0
Mayo University Hospital,2025-03-01,6,8,14,12,14,0,0
Portiuncula University Hospital,2025-03-01,0,0,0,3,0,0,0
Roscommon University Hospital,2025-03-01,9,7,7,14,9,0,0
Sligo University Hospital,2025-03-01,7,7,14,13,14,2,0
Beaumont Hospital,2025-03-02,0,0,0,2,0,0,2
Cavan General Hospital,2025-03-02,2,0,2,9,0,0,0
Connolly Hospital,2025-03-02,0,0,0,0,0,0,0
Louth County Hospital,2025-03-02,6,0,6,21,0,0,0
Mater Misericordiae University Hospital,2025-03-02,6,0,6,21,0,0,0
National Orthopaedic Hospital Cappagh,2025-03-02,16,0,16,43,16,0,0
Our Lady of Lourdes Hospital,2025-03-02,16,0,16,43,16,0,0
Our Lady's Hospital Navan,2025-03-02,0,0,0,22,0,0,0
CHI at Crumlin,2025-03-02,2,0,4,4,4,0,0
CHI at Tallaght,2025-03-02,0,0,0,0,0,0,1
CHI at Temple Street,2025-03-02,1,0,1,0,0,0,4
MRH Mullingar,2025-03-02,4,5,24,5,5,0,2
MRH Portlaoise,2025-03-02,2,0,2,18,10,0,0
MRH Tullamore,2025-03-02,0,0,0,22,8,0,0
Naas General Hospital,2025-03-02,13,2,15,13,15,1,4
St. James's Hospital,2025-03-02,4,0,4,9,26,0,0
St. Luke's Radiation Oncology Network,2025-03-02,6,0,6,31,0,0,0
Tallaght University Hospital,2025-03-02,6,0,6,31,1,0,0
National Rehabilitation Hospital,2025-03-02,0,0,0,0,0,0,0
St. Columcille's Hospital,2025-03-02,0,0,0,4,0,0,0
St Luke's General Hospital Kilkenny,2025-03-02,0,0,0,4,0,0,0
St. Michael's Hospital,2025-03-02,14,0,40,0,0,0,0
St. Vincent's University Hospital,2025-03-02,14,0,40,0,0,2,0
Tipperary University Hospital,2025-03-02,2,0,2,17,11,1,0
UH Waterford,2025-03-02,0,0,0,14,25,0,0
Wexford General Hospital,2025-03-02,2,4,6,18,1,0,0
Bantry General Hospital,2025-03-02,7,5,17,0,0,0,0
Cork University Hospital,2025-03-02,7,5,17,32,32,0,0
Mallow General Hospital,2025-03-02,4,10,4,14,4,0,0
Mercy University Hospital,2025-03-02,10,4,14,16,14,3,0
South Infirmary Victoria University Hospital,2025-03-02,2,0,2,10,0,0,0
UH Kerry,2025-03-02,2,0,2,10,28,0,0
Ennis Hospital,2025-03-02,0,0,0,0,0,0,0
Nenagh Hospital,2025-03-02,0,0,0,0,0,0,0
St. John's Hospital Limerick,2025-03-02,6,10,38,48,6,0,0
UH Limerick,2025-03-02,10,38,48,39,48,0,0
Galway University Hospital,2025-03-02,9,2,26,40,40,0,6
Letterkenny University Hospital,2025-03-02,6,6,12,8,12,4,0
Mayo University Hospital,2025-03-02,16,13,29,18,29,0,3
Portiuncula University Hospital,2025-03-02,3,0,3,6,0,0,0
Roscommon University Hospital,2025-03-02,9,6,10,16,9,0,0
Sligo University Hospital,2025-03-02,6,10,16,15,16,6,0
Beaumont Hospital,2025-03-03,12,0,7,0,0,3,0
Cavan General Hospital,2025-03-03,3,0,3,5,0,0,0
Connolly Hospital,2025-03-03,0,0,0,0,0,0,0
Louth County Hospital,2025-03-03,5,0,5,26,0,0,0
Mater Misericordiae University Hospital,2025-03-03,5,0,5,26,0,0,0
National Orthopaedic Hospital Cappagh,2025-03-03,28,0,28,55,28,0,0
Our Lady of Lourdes Hospital,2025-03-03,28,0,28,55,28,0,1
Our Lady's Hospital Navan,2025-03-03,1,0,26,0,0,0,0
CHI at Crumlin,2025-03-03,6,0,6,0,6,1,0
CHI at Tallaght,2025-03-03,0,0,0,0,0,0,3
CHI at Temple Street,2025-03-03,3,0,0,0,13,10,3
MRH Mullingar,2025-03-03,10,3,13,24,13,1,0
MRH Portlaoise,2025-03-03,6,0,6,19,10,0,0
MRH Tullamore,2025-03-03,0,0,0,37,8,0,0
Naas General Hospital,2025-03-03,17,3,20,18,20,1,18
St. James's Hospital,2025-03-03,18,0,18,11,18,0,0
St. Luke's Radiation Oncology Network,2025-03-03,30,0,30,31,30,0,0
Tallaght University Hospital,2025-03-03,30,0,30,31,30,0,0
National Rehabilitation Hospital,2025-03-03,0,0,0,0,0,0,0
St. Columcille's Hospital,2025-03-03,5,0,5,15,0,0,0
St Luke's General Hospital Kilkenny,2025-03-03,5,0,5,15,0,0,0
St. Michael's Hospital,2025-03-03,29,9,38,40,38,0,0
